srch_id,item_id,item_title,item_add1,item_add2
84,1578096,Beijing Garden,145 W Gray St,"Elmira, NY 14901"
85,1591924,Bellacino's,1176  Roanoke Rd,"Daleville, VA 24083"
86,1594914,Bellefonte Wok Chinese Restaurant,111 S Allegheny St,"Bellefonte, PA 16823"
87,1657645,Bert & Ernie's Dining Saloon & Grill,361 N Last Chance Gulch,"Helena, MT 59601"
88,1658273,Bertha Mirandas Mexican Restaurant,336  Mill St,"Reno, NV 89501"
89,1659070,Bertolos Pizza,"200 N Main St, Ste 103","Greenville, SC 29601"
90,1659323,Bertram's Salmon Valley Brewery,101 S Andrews St,"Salmon, ID 83467"
91,1679572,Best Wok,443  Eisenhower Dr,"Hanover, PA 17331"
92,1715629,Coffee Jitterz,252 W Main St,"Hamilton, MT 59840"
93,1722871,Big Belly Deli,171 N Main St,"Hailey, ID 83333"
94,1727535,Big Daddys Roadhouse,3001  Corrine Dr,"Orlando, FL 32803"
95,1731757,Big J's Burgers & Pizza,245 N Bridge St,"Saint Anthony, ID 83445"
96,1751027,Billie's Restaurant,309 S Mildred St,"Ranson, WV 25438"
97,1756923,Bill's Restaurant,"8 W Main St, # FRNT","Hummelstown, PA 17036"
98,1785716,Bj's Steak and Rib House,17 N Market St,"Selinsgrove, PA 17870"
99,1799960,Blacktail Station,26 S Montana St,"Dillon, MT 59725"
100,1806574,Blake's Lotaburger,2130  Bloomfield Blvd,"Farmington, NM 87401"
101,1808545,The Original Blanco Cafe,419 N Saint Marys St,"San Antonio, TX 78205"
102,1834221,Blondy's,1125 S 27th St,"Billings, MT 59101"
103,1843079,Blue Crab Grill,322  Suburban Dr,"Newark, DE 19711"
104,1850642,Blue Ribbon Bakery,515 S Washington Ave,"Emmett, ID 83617"
105,1886122,Bob's Seafood,901  Roosevelt Trl,"Windham, ME 04062"
106,1901748,Boheme Restaurant,325 S Orange Ave,"Orlando, FL 32801"
107,1904726,Subway,605 S Hampton St,"Kershaw, SC 29067"
108,1914406,Bonanza Freeze,1040 S Montana St,"Butte, MT 59701"
109,1917667,Bonefish Grill,1779 Carl D Silver Parkway,"Fredericksburg, VA 22401"
110,1921772,Bonnie Kay Seafood,222  Spur Rd,"Greensboro, NC 27406"
111,1923828,Bonzer's,420  Demers Ave,"Grand Forks, ND 58201"
112,1925613,Old Original Bookbinder's  Restaurant,2306 East Cary Street,"Richmond, VA 23223"
113,1927381,Foster's Crossing Antiques & Gifts,504  Oak St,"Sandpoint, ID 83864"
114,1932834,Bootleggers,817 S Main St,"Kemmerer, WY 83101"
115,2021381,Breanna's Old-Fashioned Soda Fountain & ,100 W Jefferson St,"Clinton, MO 64735"
116,2025011,Breezy Point Seafood Company,9501  Philadelphia Rd,"Rosedale, MD 21237"
117,2037534,Brewsters Italian Cafe,11 W Merchant St,"New Buffalo, MI 49117"
118,2041585,Briarwood Country Club,3429  Briarwood Blvd,"Billings, MT 59101"
119,2081083,Broken Arrow Casino & Steak House,317  Main St,"Deer Lodge, MT 59722"
120,2081720,Broken Wheel Restaurant & Lounge,102 E Cameron Ave,"Kellogg, ID 83837"
121,2100784,The Vestal Diner,168  Vestal Pkwy E,"Vestal, NY 13850"
122,2100844,Brother's Pizza,"875  Lincoln Way W, Ste 111","Chambersburg, PA 17202"
123,2126629,Bruce's Quick Lube & Car Care,1111 E Front St,"Butte, MT 59701"
124,2168557,Bud's Chicken & Seafood,2579  Northlake Blvd,"West Palm Beach, FL 33403"
125,2185079,Bull Feeney's,375  Fore St,"Portland, ME 4101"
126,2189220,Bullwinkle's Pizza Parlor,318  Willoughby Ave,"Juneau, AK 99801"
127,2202374,Burger King,394 N Litchfield Rd,"Goodyear, AZ"
128,2202574,Burger King,33 S Park Dr,"Colchester, VT"
129,2203465,Burger King,124 S Dumas Ave,"Dumas, TX"
130,2203974,Burger King,2900 SE 36th Ave,"Ocala, FL 34471"
131,2205423,Burger King,1250  Sunset Dr,"Grenada, MS"
132,2205818,Burger King,4922  Dixie Hwy,"Waterford, MI 48329"
133,2205823,Burger King,6101 E M 115,"Cadillac, MI 49601"
134,2205979,Burger King,699 N Cross St,"Albany, KY 42602"
135,2206320,Burger King,360  Blue Lakes Blvd N,"Twin Falls, ID"
136,2207331,Burger King,415  Us Highway 80  E,"Pooler, GA"
137,2207458,Burger King,1514 S Harbor City Blvd,"Melbourne, FL"
138,2208478,Burger Stop,1335  Addison Ave E,"Twin Falls, ID 83301"
139,2208730,Burgers Shakes & Cream Family Restaurant,325 E Main St,"Waynesboro, VA 22980"
140,2218816,Burnet Barbeque Corp,1275A  Stuyvesant Ave,"Union, NJ 07083"
